municipio,ext_pov,landgini,occs,logarea,logfam,logpop
Crissiumal,24.020000457763672,0.3545146882534027,0,5.897153854370117,-4.605170249938965,9.8082427978515625
Cristal,14.859999656677246,0.848967432975769,0,6.525176048278809,-4.605170249938965,8.711936950683594
Cruzeiro do Sul,6.679999828338623,0.5178136825561523,3,5.046002388000488,5.247076511383057,9.287116050720215
David Canabarro,17.540000915527344,0.4211644232273102,0,5.163642406463623,-4.605170249938965,8.535622596740723
Dezesseis de Novembro,42.27000045776367,0.6455330848693848,0,5.375278472900391,-4.605170249938965,8.288534164428711
Dois Lajeados,12.970000267028809,0.3886362314224243,0,4.814620494842529,-4.605170249938965,8.633196830749512
Dom Feliciano,23.8799991607666,0.6278226375579834,0,7.141244888305664,-4.605170249938965,9.426015853881836
Dom Pedrito,17.6299991607666,0.8693281412124634,0,8.555413246154785,-4.605170249938965,10.546761512756348
Dona Francisca,14.420000076293945,0.5049514174461365,0,4.656813621520996,-4.605170249938965,8.184792518615723
Doutor Maurício Cardoso,24.31999969482422,0.33722037076950073,0,5.534574508666992,-4.605170249938965,8.882946968078613
Eldorado do Sul,10.979999542236328,0.8807255029678345,0,6.254021167755127,-4.605170249938965,9.781489372253418
Encantado,3.0999999046325684,0.43404266238212585,0,4.947340488433838,-4.605170249938965,9.806756019592285
Encruzilhada do Sul,26.25,0.7594752907752991,4,8.137980461120605,6.845358371734619,9.974830627441406
Entre-Ijuís,28.90999984741211,0.7253786325454712,0,6.315176963806152,-4.605170249938965,9.205830574035645
Entre Rios do Sul,35.959999084472656,0.42367053031921387,0,4.775756359100342,-4.605170249938965,8.304247856140137
Erebango,20.739999771118164,0.535666823387146,0,5.058155059814453,-4.605170249938965,8.073714256286621
Erechim,8.100000381469727,0.5770086050033569,1,6.6375203132629395,5.521501064300537,11.188828468322754
Ernestina,25.040000915527344,0.5913540124893188,0,5.68425989151001,-4.605170249938965,8.255568504333496
Herval,20.43000030517578,0.7906945943832397,0,7.936767578125,-4.605170249938965,8.877521514892578
Erval Grande,42.619998931884766,0.4493548274040222,0,5.6528401374816895,-4.605170249938965,8.891786575317383
Erval Seco,42.439998626708984,0.6290803551673889,0,5.844992637634277,-4.605170249938965,9.474318504333496
Esmeralda,32.58000183105469,0.7045024037361145,0,7.1564106941223145,-4.605170249938965,8.665613174438477
Espumoso,23.149999618530273,0.6461244821548462,0,6.7884087562561035,-4.605170249938965,9.741557121276855
Estação,12.930000305175781,0.4541281759738922,0,4.571613311767578,-4.605170249938965,8.618124008178711
Estrela,3.7699999809265137,0.44370296597480774,0,5.21602201461792,-4.605170249938965,10.19189453125
Eugênio de Castro,32.20000076293945,0.7477698922157288,0,6.043582439422607,-4.605170249938965,8.1721649169921875
Fagundes Varela,4.809999942779541,0.34057381749153137,0,4.8843159675598145,-4.605170249938965,7.845024585723877
Farroupilha,1.5700000524520874,0.5465855598449707,0,5.976097106933594,-4.605170249938965,10.722474098205566
Faxinal do Soturno,17.299999237060547,0.4934062659740448,0,5.111385345458984,-4.605170249938965,9.114270210266113
Faxinalzinho,44.040000915527344,0.5822892189025879,0,4.968423366546631,-4.605170249938965,8.034306526184082
Feliz,3.569999933242798,0.5095133781433105,0,4.5293684005737305,-4.605170249938965,9.652780532836914
Flores da Cunha,3.380000114440918,0.5734755396842957,0,5.6811957359313965,-4.605170249938965,9.896916389465332
Fontoura Xavier,35.91999816894531,0.6543915867805481,0,6.356281280517578,-4.605170249938965,9.400299072265625
Formigueiro,33.97999954223633,0.7608190178871155,0,6.376386642456055,-4.605170249938965,8.948455810546875
Fortaleza dos Valos,15.5,0.7600576281547546,0,6.536111831665039,-4.605170249938965,8.446770668029785
Frederico Westphalen,18.469999313354492,0.3575283885002136,0,5.577841281890869,-4.605170249938965,10.124027252197266
Garibaldi,2.950000047683716,0.4488217830657959,0,5.608005523681641,-4.605170249938965,10.163002014160156
Gaurama,17.530000686645508,0.3690781891345978,0,5.303802490234375,-4.605170249938965,8.7794036865234375
General Câmara,20.31999969482422,0.8866490125656128,0,6.202940464019775,-4.605170249938965,9.354267120361328
Getúlio Vargas,10.050000190734863,0.4140555262565613,0,5.655992031097412,-4.605170249938965,9.905585289001465
Giruá,25.899999618530273,0.6246614456176758,4,6.718288421630859,4.812265872955322,10.1972017288208
Glorinha,16.059999465942383,0.7522159218788147,0,5.81859827041626,-4.605170249938965,8.430981636047363
Gramado,2.8299999237060547,0.48103806376457214,0,5.492650032043457,-4.605170249938965,10.003107070922852
Guabiju,12.65999984741211,0.5481482744216919,2,4.993828296661377,4.234251499176025,7.459914684295654
Guaporé,4.929999828338623,0.44613373279571533,0,5.74524450302124,-4.605170249938965,9.8946990966796875
Guarani das Missões,22.219999313354492,0.3723330497741699,0,5.678806304931641,-4.605170249938965,9.350102424621582
Harmonia,3.259999990463257,0.4368465542793274,0,3.8836236000061035,-4.605170249938965,8.03073501586914
Horizontina,12.869999885559082,0.43892529606819153,0,5.4432830810546875,-4.605170249938965,9.742321014404297
Humaitá,18.25,0.3959456980228424,0,4.959342002868652,-4.605170249938965,8.70450210571289
Ibarama,18.610000610351562,0.4349178075790405,0,5.273512363433838,-4.605170249938965,8.53915023803711
Ibiaçá,20.520000457763672,0.5994176864624023,0,5.986954212188721,-4.605170249938965,8.681520462036133
Ibiraiaras,10.859999656677246,0.5243584513664246,0,5.756690979003906,-4.605170249938965,8.962648391723633
Ibirapuitã,27.360000610351562,0.6269034743309021,0,5.926926136016846,-4.605170249938965,8.682199478149414
Ibirubá,8.789999961853027,0.5766890048980713,0,6.43839168548584,-4.605170249938965,9.78785228729248
Ijuí,10.75,0.5168470740318298,0,6.810693740844727,-4.605170249938965,11.227334976196289
Ilópolis,13.25,0.4732245206832886,0,4.748404502868652,-4.605170249938965,8.2584228515625
Imigrante,5.380000114440918,0.44013193249702454,0,4.611152172088623,-4.605170249938965,8.284252166748047
Independência,30.049999237060547,0.5818150043487549,0,5.866751194000244,-4.605170249938965,8.921457290649414
Ipê,9.920000076293945,0.6553102731704712,0,6.398594856262207,-4.605170249938965,8.651374816894531
Ipiranga do Sul,11.25,0.48686957359313965,0,5.074548721313477,-4.605170249938965,7.761319160461426
Iraí,28.100000381469727,0.4094378352165222,0,5.2983174324035645,-4.605170249938965,9.357294082641602
Itacurubi,34.91999816894531,0.8346025943756104,0,7.021798133850098,-4.605170249938965,8.122668266296387
Itaqui,18.290000915527344,0.8995519280433655,0,8.13320541381836,-4.605170249938965,10.598058700561523
Itatiba do Sul,40.77000045776367,0.33951279520988464,0,5.372032642364502,-4.605170249938965,8.803423881530762
Ivorá,23.68000030517578,0.44976291060447693,0,4.880526542663574,-4.605170249938965,7.848933696746826
Ivoti,1.7300000190734863,0.49243152141571045,0,4.175924301147461,-4.605170249938965,9.70051383972168
Jaboticaba,44.279998779296875,0.45641767978668213,0,4.858260631561279,-4.605170249938965,8.656607627868652
Jacutinga,20.860000610351562,0.5125125050544739,0,5.413430213928223,-4.605170249938965,8.749415397644043
Jaguarão,14.380000114440918,0.864300012588501,0,7.635738372802734,-4.605170249938965,10.231171607971191
Jaguari,27.31999969482422,0.5813708901405334,0,6.5298566818237305,-4.605170249938965,9.453207969665527
Jaquirana,29.399999618530273,0.6968916654586792,0,6.821652412414551,-4.605170249938965,8.307212829589844
Jóia,27.06999969482422,0.8362322449684143,6,7.127934455871582,8.255830764770508,8.923591613769531
Júlio de Castilhos,19.989999771118164,0.8230886459350586,10,7.527363300323486,8.867287635803223,10.131937026977539
Lagoão,41.189998626708984,0.5681650638580322,0,5.951163291931152,-4.605170249938965,8.705662727355957
Lagoa Vermelha,19.389999389648438,0.74660325050354,3,7.483750343322754,6.956554889678955,10.265801429748535
Lavras do Sul,18.8700008392334,0.8105471134185791,0,7.865034580230713,-4.605170249938965,9.085909843444824
Liberato Salzano,49.56999969482422,0.33874380588531494,0,5.521060943603516,-4.605170249938965,9.06670093536377
Machadinho,32.880001068115234,0.5352311730384827,0,5.809642791748047,-4.605170249938965,8.900821685791016
Marau,9.859999656677246,0.551624059677124,0,6.416078567504883,-4.605170249938965,10.133289337158203
Marcelino Ramos,21.56999969482422,0.510336697101593,0,5.438079357147217,-4.605170249938965,8.865029335021973
Mariano Moro,17.059999465942383,0.3885677456855774,0,4.632785320281982,-4.605170249938965,8.005367279052734
Mata,25.600000381469727,0.5648789405822754,0,5.702782154083252,-4.605170249938965,8.626585960388184
Maximiliano de Almeida,24.459999084472656,0.39248526096343994,0,5.374815464019775,-4.605170249938965,8.799812316894531
Miraguaí,49.529998779296875,0.3867168128490448,0,4.864452838897705,-4.605170249938965,8.699348449707031
Montauri,7.849999904632568,0.30724167823791504,0,4.257030010223389,-4.605170249938965,7.487733840942383
Montenegro,5.880000114440918,0.6529678106307983,0,6.0885910987854,-4.605170249938965,10.801593780517578
Morro Redondo,15.65999984741211,0.4843873977661133,0,5.509793281555176,-4.605170249938965,8.711113929748535
Mostardas,15.9399995803833,0.8706743121147156,0,7.571319103240967,-4.605170249938965,9.11482048034668
Muçum,2.940000057220459,0.3654528856277466,0,4.692265033721924,-4.605170249938965,8.8716459274292
Não-Me-Toque,5.659999847412109,0.6039083003997803,2,5.937272071838379,6.476987838745117,9.548810958862305
Nonoai,30.8700008392334,0.7164024710655212,0,6.129050254821777,-4.605170249938965,9.948890686035156
Nova Alvorada,18.829999923706055,0.4329046905040741,0,5.006627082824707,-4.605170249938965,7.883446216583252
Nova Araçá,2.549999952316284,0.3963605463504791,0,3.9945242404937744,-4.605170249938965,7.96136999130249
Nova Bassano,5.210000038146973,0.4753844738006592,0,5.418320178985596,-4.605170249938965,8.819073677062988
Nova Bréscia,14.199999809265137,0.38094577193260193,0,5.302807331085205,-4.605170249938965,8.551401138305664
Nova Esperança do Sul,21.799999237060547,0.515661895275116,0,5.25122594833374,-4.605170249938965,8.185628890991211
Nova Hartz,4.760000228881836,0.4786876142024994,0,4.056988716125488,-4.605170249938965,9.211639404296875
Nova Palma,22.030000686645508,0.5133874416351318,0,5.86391544342041,-4.605170249938965,8.943244934082031
Nova Petrópolis,2.5199999809265137,0.4782404601573944,0,5.680513858795166,-4.605170249938965,9.727168083190918
Nova Prata,2.259999990463257,0.5319499969482422,0,5.557214260101318,-4.605170249938965,9.620859146118164
Nova Roma do Sul,3.930000066757202,0.35633599758148193,0,5.027164459228516,-4.605170249938965,7.9926066398620605
Osório,8.699999809265137,0.8110634684562683,0,6.509067058563232,-4.605170249938965,10.514801025390625
Paim Filho,33.540000915527344,0.4552948474884033,0,5.168208599090576,-4.605170249938965,8.593228340148926
Palmares do Sul,14.3100004196167,0.885292112827301,2,6.853615760803223,4.234251499176025,9.327945709228516
Palmeira das Missões,24.1299991607666,0.8086950182914734,4,7.34588098526001,8.21609115600586,10.877443313598633
Palmitinho,22.889999389648438,0.3792465925216675,0,4.9725871086120605,-4.605170249938965,9.364690780639648
Panambi,11,0.6148934960365295,0,6.197258472442627,-4.605170249938965,10.28803539276123
Pantano Grande,18.100000381469727,0.8776823878288269,1,6.742527008056641,6.214628219604492,9.21203899383545
Paraí,5.210000038146973,0.4119130074977875,0,4.7974419593811035,-4.605170249938965,8.538954734802246
Paraíso do Sul,15.380000114440918,0.548984169960022,0,5.836563587188721,-4.605170249938965,8.789507865905762
