departamento,municipio,nuestro_tiempo,fmln,n,pdc,vamos,pcn,gana,cd,leonardo_bonilla,impugnados,nulos,arena,coalicion_pcn,jesus_segovia,densidad,percent_urbano,masculinidad,relacion_dependencia,x60_anos_y_mas,tgf,tmi,tasa_analfabetismo,asistencia_escolar,agua_potable,electricidad,sin_servicio_sanitario,con_piso_de_tierra
morazan,corinto,0,476,3309,13,0,24,485,0,0,7,104,979,0,0,162.22760290556903,21.829980532121997,89.03336604514229,97.26062467997953,9.234263465282284,3.8,34,37.718036324402085,72.5,48.80628588697491,44.666062254457536,19.159867029313993,36.860407352210636
morazan,sociedad,0,358,2652,18,0,34,1045,0,0,9,137,1044,0,0,96.39959432048683,9.363492898474487,91.15133232780292,86.4639529180971,12.072593371909521,3,33,34.108349559042495,76.57440834336141,41.357088703563306,76.57316148597423,30.288097043214556,36.00624024960998
morazan,cacaopera,0,1947,1761,19,0,109,298,0,0,22,109,1496,0,0,80.62329624990791,9.860184592890432,91.91511750263066,96.07597204802006,10.36278899753267,3.3,35,38.91036030420147,75,45.54009819967267,31.546644844517186,28.96890343698854,59.768869628024554
morazan,guatajiagua,0,332,2325,10,0,14,630,0,0,15,101,689,0,0,165.62102585841458,32.88115348519751,88.28915662650603,100.0853533629225,8.198959133179763,4.2,35,35.044805037539355,76.86567164179104,59.22560252864481,43.81667325167918,43.1845120505729,61.8786424408639
morazan,el divisadero,0,853,1771,10,0,96,425,0,0,18,91,183,0,0,124.13624511082138,10.791650256006303,88.30655129789864,73.86441451723351,12.787186556387029,2.4,26,24.32296047098402,84.81638418079096,66.95042563845769,84.92739108662994,14.02103154732098,29.32098765432099
morazan,jocoaitique,0,1098,1188,6,0,39,92,0,0,2,22,130,0,0,55.486981677917065,28.675703858185607,95.1831750339213,85.016077170418,9.94091067083768,3.8,34,20.747074707470748,90.73529411764706,82.36173393124065,66.81614349775785,7.623318385650224,31.86046511627907
morazan,osicala,0,178,2716,23,0,554,624,0,0,2,79,401,0,0,189.3517534537726,22.325738017734874,90.60761660248181,81.33523305515979,11.48277023234931,2.9,30,27.200704225352112,84.04940923737915,89.49474737368685,69.63481740870435,6.903451725862932,39.130434782608695
morazan,chilanga,0,390,1504,22,0,310,1440,0,0,2,76,399,0,0,282.5517040489368,12.75257731958763,83.50359440030269,90.4574906734734,10.34020618556701,3.1,33,35.9927596769702,73.4,78.11038353601496,68.05425631431244,27.08138447146866,51.041241322988974
morazan,meanguera,0,1397,1826,8,0,40,279,0,0,3,25,70,0,0,165.46031746031747,19.634177539012533,91.42997061704212,82.87719298245614,9.426963417753901,3.3,34,22.105788423153694,88.30954994511526,67.6056338028169,60.676056338028175,15.098591549295776,26.881720430107524
morazan,torola,0,643,474,0,0,33,510,0,0,0,25,86,0,0,52.21421215242019,7.199211045364892,102.39520958083833,89.76918278228322,8.645627876397107,4.2,36,25.371828521434818,89.52879581151832,50.079744816586924,38.11802232854865,28.548644338118024,48.970588235294116
morazan,san simon,0,1134,3125,4,0,65,703,0,0,24,128,749,0,0,258.0991313234543,15.343496337358939,93.82194934765926,92.60247855100096,6.860027717283707,3.6,33,30.62274117319989,83.27773144286907,80.66896212493852,36.399409739301525,33.00541072306935,74.79452054794521
morazan,delicias de concepcion,0,140,1342,12,0,102,337,0,0,1,64,683,0,0,251.0385756676558,40.60283687943262,90.54054054054053,75.70093457943925,11.977935382190703,2.7,27,24.92393509127789,85.7707509881423,59.67611336032389,74.41295546558705,18.299595141700404,36.895674300254456
morazan,joateca,0,254,815,10,0,150,596,0,0,1,26,312,0,0,63.527991549720845,19.239904988123516,93.29660238751147,96.91300280636108,12.660332541567696,2.7,26,27.209154481881754,87.32673267326733,62.419006479481645,30.345572354211665,16.630669546436287,44.37030859049207
morazan,arambala,0,580,1150,4,0,56,82,0,0,2,64,556,0,0,15.944313107433675,14.168039538714991,90.08350730688936,89.88529718456726,9.500274574409664,4.7,37,25.272331154684096,82.79816513761467,43.76470588235294,55.05882352941176,7.764705882352942,38.59060402684564
morazan,lolotiquillo,0,111,616,4,0,21,580,0,0,10,33,385,0,0,217.28558797524315,20.83418107833164,85.12241054613936,90.87378640776699,11.597151576805697,3.9,29,34.88754799780581,76.26494940202392,61.267605633802816,80.1056338028169,27.11267605633803,47.28183118741059
morazan,yamabal,0,335,1015,10,0,35,147,0,0,1,43,548,0,0,51.68886774500476,12.56327657616199,90.36355672360928,92.21583370190181,9.80211688909342,3.4,35,33.32273449920508,63.86473429951691,57.95574288724974,45.732349841938884,34.35194942044257,55.09090909090909
morazan,yoloaiquin,0,162,968,4,0,72,150,0,0,0,30,551,0,0,267.4315321983716,17.65845557708276,83.6807320793086,81.19358074222667,13.008580127318018,3,30,27.019299499642603,79.20656634746922,77.93791574279379,79.15742793791574,20.17738359201774,38.427947598253276
morazan,san carlos,0,303,918,13,0,145,468,0,0,0,27,335,0,0,112.93990254466704,23.897411313518695,90.154968094804,75.95951075495572,10.210930009587727,2.7,25,25.235997482693517,86.2547288776797,58.923230309072785,74.27716849451646,18.843469591226324,39.47811447811448
