sex,hhsize,age_num,displace,yrs_dis,other_victim,endorse_coca,rest_yn,dis_return
male,5,53,1,4,0,agree,1,0
male,6,61,0,,0,,1,
male,8,50,1,27,0,disagree,0,1
female,3,53,1,11,0,,0,1
female,4,37,0,,1,strong agree,0,
male,4,50,0,,1,neutral,0,
female,3,26,1,17,1,disagree,0,1
female,6,42,1,17,1,disagree,0,0
female,5,51,1,17,0,agree,0,0
female,3,34,1,6,0,agree,0,0
male,9,51,1,13,1,agree,0,0
female,3,36,1,17,1,disagree,0,0
female,5,29,1,17,1,disagree,0,0
female,6,37,1,15,1,agree,0,0
female,4,64,1,16,0,agree,0,0
female,9,63,0,,0,agree,0,
male,3,48,0,,0,neutral,0,
female,8,61,0,,0,agree,0,
male,4,59,1,9,1,agree,0,1
male,5,39,0,,0,agree,1,
male,4,75,0,,0,agree,0,
male,6,58,1,16,1,agree,1,0
female,4,53,1,16,0,strong disagree,0,0
female,4,60,1,16,1,agree,0,0
male,5,32,1,12,0,agree,0,1
female,2,68,0,,,neutral,0,
female,6,39,1,6,0,agree,0,0
male,5,36,0,,1,disagree,0,
female,3,53,1,16,1,agree,0,0
female,9,46,1,17,0,neutral,0,1
female,2,60,0,,0,neutral,0,
female,3,43,1,16,0,agree,0,1
male,3,86,0,,0,agree,0,
male,3,64,0,,0,agree,0,
female,3,49,1,4,0,agree,0,1
male,5,51,0,,1,neutral,0,
female,3,24,0,,1,strong agree,0,
male,4,49,0,,0,agree,0,
male,9,53,0,,0,agree,0,
male,5,48,1,17,0,agree,0,1
female,4,28,0,,0,agree,0,
male,5,41,1,16,0,neutral,1,1
male,3,39,0,,0,strong agree,0,
male,3,36,0,,0,disagree,0,
male,4,40,0,,0,disagree,0,
female,3,25,0,,0,agree,0,
female,3,38,0,,0,agree,0,
female,5,34,1,15,0,disagree,1,1
male,6,48,1,17,1,agree,1,1
male,4,68,1,19,1,disagree,0,1
female,3,28,0,,0,neutral,0,
female,3,39,0,,0,disagree,0,
male,4,48,0,,0,strong disagree,0,
