sex,hhsize,age_num,displace,yrs_dis,other_victim,endorse_coca,rest_yn,dis_return
female,4,31,0,,1,disagree,0,
female,2,66,0,,0,agree,0,
female,5,34,0,,0,agree,0,
male,3,27,0,,1,neutral,0,
female,14,86,1,13,0,agree,0,0
male,5,32,0,,0,,0,
female,2,51,1,16,1,agree,0,1
male,3,46,0,,0,neutral,0,
male,1,25,1,20,0,agree,0,1
male,1,64,1,9,1,agree,0,1
female,3,28,1,11,1,,0,0
female,2,56,0,,1,strong agree,0,
female,4,46,0,,0,,0,
female,15,49,0,,,disagree,1,
female,4,44,1,,0,,0,0
female,3,28,0,,0,agree,0,
male,3,28,1,16,1,,1,0
male,6,38,1,16,1,disagree,0,1
male,2,63,0,,1,disagree,1,
male,2,67,0,,0,agree,0,
female,7,62,1,26,0,agree,,0
male,5,46,1,16,0,strong disagree,1,1
female,6,27,1,14,1,agree,0,0
female,4,23,1,16,1,neutral,0,0
female,6,66,0,,0,agree,1,
female,4,77,0,,0,agree,0,
female,6,37,1,18,0,agree,0,1
female,8,39,0,,0,disagree,0,
male,3,67,0,,0,agree,0,
female,5,44,0,,0,disagree,0,
male,4,45,1,13,1,strong agree,0,0
female,1,50,1,14,1,disagree,0,0
female,6,34,1,14,0,agree,1,0
male,3,39,0,,0,strong disagree,0,
female,7,31,0,,0,,0,
male,3,26,1,15,1,strong agree,1,0
male,4,44,1,15,0,agree,1,0
female,4,38,1,14,0,agree,0,0
female,2,60,0,,0,,0,
female,4,57,0,,0,neutral,0,
male,6,30,1,15,1,strong disagree,1,0
male,4,49,1,14,0,agree,0,0
male,4,29,1,14,0,strong agree,1,0
female,6,53,1,17,0,agree,0,1
male,7,53,0,,0,neutral,0,
male,8,69,1,13,1,neutral,1,1
male,7,51,0,,1,strong disagree,0,
male,1,59,1,22,1,neutral,1,1
female,7,26,1,26,1,neutral,1,1
male,6,60,1,13,1,agree,1,1
male,8,50,1,13,1,neutral,1,1
male,1,79,1,15,0,neutral,1,1
female,2,56,1,13,1,,0,1
male,4,58,1,26,1,neutral,1,1
female,5,,0,,1,strong agree,1,
male,6,25,1,17,0,neutral,0,1
